Univ_ZhT_Strd,Univ_Eng,Status_ZhT,Status_Eng
熊嶽城滿鐵農業學校,Xiongyuecheng Mantie Agricultural School,,
宣化師範學校,Xuanhua Normal School,,
徐匯公學,Xuhui Public School,,
徐家匯公學,Xujiahui Public School,,
徐梁畫院,Xuliang Painting Academy,,
雅禮大學,Yali University,,
延吉師範學校,Yanji Normal School,,
煙台海軍學校,Yantai Naval School,,
煙台益文商專科學校,Yantai Yiwen Commercial College,,
藥治大學,Yaoshi University,,
宜昌華美書院,Yichang Huamei Academy,,
穎布露農學院,Ying Brou Agricultural College,,
營口商業學校,Yingkou Business School,,
營口師範學校,Yingkou Normal School,,
英士大學,Yingshi University,,
宜興農林學校,Yixing Agriculture and Forestry School,,
苑街華僑女子醫專,Yuan Street Overseas Chinese Women's Medical College,,
粵漢鐵路電務講習所,Yue-han Railway Electricity Workshop,,
雲南陸軍講武堂,Yunnan Army Lecture Hall,,
雲南甲種工業學校,Yunnan First Class Industrial School,,
雲南軍事教道隊,Yunnan Military Taoist Team,,
雲南市政府技術人員養成所,Yunnan Municipal Government Technical Personnel Training Institute,,
雲南師範學校,Yunnan Normal School,,
雲南省公費留美預備班,Yunnan Province Preparatory Class to Study in the United States,,
雲南省立第一師範學校,Yunnan Provincial First Normal School,,
雲南省立法政專門學校,Yunnan Provincial Law and Politics Vocational School,,
雲南公立法政專門學校,Yunnan Public School of Law and Politics,,
雲南大學,Yunnan University,,
雲南省女子師範學校,Yunnan Women's Normal School,,
育青中學,Yuqing Middle School,,
郁文大學,Yuwen University,,
張方速記學校,Zhang Fang Stenography School,,
昭武農業學校,Zhaowu Agricultural School,,
浙江自治專學院,Zhejiang Autonomous College,,
浙江甲種工業學校,Zhejiang Class A Industrial School,,
浙江高等學校,Zhejiang College,,
浙江廣濟醫專,Zhejiang Guangji Medical College,,
浙江醫藥專科學校,Zhejiang Medical College,,
浙江武備學堂,Zhejiang Military Academy,,
浙北職業學校,Zhejiang North Vocational School,,
浙江高等警官學校,Zhejiang Police Academy,,
浙江省立高級蠶桑科,Zhejiang Provincial Advanced Sericulture,,
浙江省立商業學校,Zhejiang Provincial Business School,,
浙江省立商業專科學校,Zhejiang Provincial Commercial Vocational School,,
浙江省立第八師範,Zhejiang Provincial Eighth Normal School,,
浙江省立第五師範學校,Zhejiang Provincial Fifth Normal School,,
浙江省立第五師范,Zhejiang Provincial Fifth Normal School,,
浙江省立第一師範學校,Zhejiang Provincial First Normal School,,
浙江省立第一師范學校,Zhejiang Provincial First Normal School,,
浙江省立水產學校,Zhejiang Provincial Fisheries School,,
浙江省立女子師範學校,Zhejiang Provincial Girls' Normal School,,
浙江省立法政專門學校,Zhejiang Provincial Law and Politics Vocational School,,
浙江省立地方自治學校,Zhejiang Provincial Local Autonomous School,,
浙江省立醫藥專科學校,Zhejiang Provincial Medical College,,
浙江省立助產學校,Zhejiang Provincial Midwifery School,,
浙江省立第九師範學校,Zhejiang Provincial Ninth Normal School,,
浙江省立師范學校,Zhejiang Provincial Normal School,,
浙江省立治蟲人員養成所,Zhejiang Provincial Pest Control Personnel Training Institute,,
浙江省立警官學校,Zhejiang Provincial Police Academy,,
浙江省立第十師範學校,Zhejiang Provincial Tenth Normal School,,
浙江省立第三師范,Zhejiang Provincial Third Normal School,,
浙江省立女子產科職校,Zhejiang Provincial Women's Obstetrics Vocational School,,
浙江省立女子蠶桑講習所,Zhejiang Provincial Women's Sericulture Workshop,,
浙江公立農業專門學校,Zhejiang Public Agricultural College,,
浙江公立工業專門學校,Zhejiang Public Industrial College,,
浙江公立醫學專門學校,Zhejiang Public Medical College,,
浙江公立法政專門學校,Zhejiang Public School of Law and Politics,,
浙江紹興縣立女子師範學校,Zhejiang Shaoxing County Girls' Normal School,,
浙江體育專門學校,Zhejiang Sports College,,
浙江兩級師範學校,Zhejiang Two-level Normal School,,
浙江永康縣立中學,Zhejiang Yongkang County Middle School,,
震旦學院,Zhendan College,,
正風文學院,Zhengfeng College of Literature,,
正商中學,Zhengshang Middle School,,
鎮江師範學校,Zhenjiang Normal School,,
鎮江女子職業學校,Zhenjiang Women's Vocational School,,
直隸第一女子師範學校,Zhili First Women's Normal School,,
直隸高等工業學堂,Zhili Higher Industrial School,,
直隸高等學堂,Zhili Higher School,,
直隸省立第一師範學校,Zhili Provincial First Normal School,,
直隸省立第二師範學校,Zhili Provincial Second Normal School,,
直隸公立農業專門學校,Zhili Public Agricultural College,,
直隸公立工業專門學校,Zhili Public Industrial College,,
直隸公立醫學專門學校,Zhili Public Medical College,,
直隸公立法政專門學校,Zhili Public School of Law and Politics,,
持誌學院,Zhizhi College,,
中華職業學校,Zhonghua Vocational School,,
仲愷農業工程學院,Zhongkai University of Agriculture Engineering,,
中山縣立中學,Zhongshan County Middle School,,
中州大學,Zhongzhou University,,
莊河縣立師範學校,Zhuanghe County Normal School,,
資寧軍官學校,Zining Military Officer School,,
資中縣立中,Zizhong County Middle School,,
上南洋中學,,,
上海中學,,,
上海中法專門學校,,,
上海中華公學,,,
上海中華商業專門學校,,,
上海中華會計學校,,,
上海中華職商學校,,,
上海中華職業學校,,,
上海中華藝術大學,,,
上海中西女塾,,,
上海交大管理學院,,,
上海交治大學,,,
上海倉聖明智學校,,,
上海勞工醫院護校,,,
上海南方職校,,,
上海商業學校,,,
上海商科大學,,,
上海大同中學,,,
上海大同大學,,,
上海大德助產校,,,
上海天主堂法文公書館,,,
上海天游學院,,,
上海女子中學,,,
上海專科師范學校,,,
上海工運訓練所,,,
上海市北中學,,,
上海建華工專,,,
上海建華電校,,,
上海政法大學,,,
上海政法學院,,,
上海會計專修學校,,,
上海民國大學,,,
上海江南學院,,,
上海法政學校,,,
上海法政專門學校,,,
上海法文書館,,,
上海法科大學,,,
上海無線電專校,,,
上海特志學院,,,
上海獸醫專科學校,,,
上海甲種商業學校,,,
上海監務專校,,,
上海美術專門學校,,,
上海英華書院,,,
上海電報傳習所,,,
上海電報學堂,,,
上海電報專門學校,,,
上海電報高等學堂,,,
上海青年中學,,,
上海青年會中學,,,
上海青年會學校,,,
上海青年高級中學,,,
上海體育專門學校,,,
上虞私立平昌小學,,,
並州學院,,,
中俄工業大學,,,
中公大學部,,,
中國工藝專門學校,,,
中國統計學社附設統計學校,,,
中國陸地測量學校,,,
中國陸軍軍官學校,,,
中央合作研究班,,,
中央國術館教授班,,,
中央國醫館特別研究班,,,
中央實驗中學,,,
中央實驗小學,,,
中央干訓團,,,
中央從政高等考試,,,
中央憲兵學校,,,
中央政府附設蒙藏學校,,,
中央政治學院,,,
中央政治專門學校,,,
中央政法專門學校,,,
中央法政專門學校,,,
中央測量學校,,,
中央當務學校,,,
中央當部從政人員考試,,,
中央組委會當訓班,,,
中央訓練團,,,
中央訓練團財政金融人員訓練班,,,
中央訓練團青干班,,,
中央訓練閣社會工作人員訓練班,,,
中央訓訓團黨爭訓練班,,,
中央護士學校,,,
中央軍隊黨政人員訓練班,,,
中央陸地測量專科學校,,,
中央陸軍大學,,,
中山大學附中,,,
中山女子師范學校,,,
中山縣民族師范,,,
中山縣立警官傳習所,,,
中山體育專科學校,,,
中山鳳山甲種商業學校,,,
中德中學,,,
中德高級助產職業學校,,,
中政高等科,,,
中東高等法政專科,,,
中法中學,,,
中英大學,,,
中華職校會計科,,,
中訓團社訓班,,,
中訓團高級班,,,
中訓團黨政班,,,
中訓團黨政班八期,,,
中訓團黨政訓練班,,,
丹陽中學,,,
丹陽縣立乙種工業大學,,,
丹陽縣立甲種師范學校,,,
丹陽縣立高小,,,
丹陽高中,,,
九江第三中學,,,
九江聖約翰學校,,,
事需學校,,,
五卅中學,,,
五城學堂,,,
五城舊制中學,,,
井州大學,,,
亞克醫科大學,,,
交通傳習所,,,
交通行政講習所,,,
交通部上海電信學校,,,
交通部報務考試,,,
交通部技訓所,,,
交通部行政講習所,,,
京兆女子師范,,,
京兆第二中學,,,
京師公立第一中學,,,
京師公立第三中學,,,
京師公立第十八高小,,,
京師公立第四師范,,,
京師政學堂,,,
京師法政學堂,,,
京師私立安徽中學,,,
京師范學館,,,
京師講學館,,,
京師譯館,,,
京張電報專門學校,,,
京滬滬杭甬鐵路車務訓練班,,,
京漢鐵路車務見習所,,,
仙台大學,,,
仲愷農工學校,,,
俄文法政專門學校,,,
保定優級師范學校,,,
保定培德舊制中學,,,
保定法律學堂,,,
保定法政學堂,,,
保定軍官學,,,
保定陸軍速成學堂第三班,,,
光中醫院,,,
光華大學附高中,,,
內務部統計講習所,,,
內務部警官高等學校,,,
內政部各省市戶籍干部人員訓練班,,,
內政部地方模范自治講習所,,,
內政部縣市行政講習班,,,
全國合作人員訓練所,,,
全國財務人員訓練所,,,
全椒中學,,,
兩廣優級師范,,,
兩廣方言學堂,,,
兩廣高等工業學堂,,,
兩江優級師范學堂,,,
兩江優級師范學校,,,
兩江師范學校,,,
兩江法政學堂,,,
兩江督標高等巡警學堂,,,
兩江高巡學堂,,,
兩湖大學及法政學堂,,,
兩湖文高等學校,,,
兩湖第一師范學校,,,
兩湖高等職業專門學校,,,
八旗中學,,,
公益中學,,,
公益聯合學校,,,
公立四川大學法政學院,,,
公立宜興中學,,,
公立杭州法政專門學校,,,
公立法專,,,
公立法政專門學校,,,
兵工專門學校,,,
別急講事館,,,
劉陽金江高等小學,,,
勃蒙大學,,,
務本女子大學,,,
務本甲種職業學校,,,
勵志中學,,,
勷勤大學,,,
勻庭中學,,,
化石橋法政專門學校,,,
化石橋私立法政專校,,,
北京？文學校,,,
北京一中,,,
北京中央大學,,,
北京中央政治學校,,,
北京中央法政專科學校,,,
北京中央法政專門學校,,,
北京交通行政講習所,,,
北京公立法政專校,,,
北京司法講習所,,,
北京司法部甄拔司法人員試驗,,,
北京商業學校,,,
北京商業專校,,,
北京商業專門學校,,,
北京國務專門學校,,,
北京國民大學,,,
北京地方公學,,,
北京大學中學,,,
北京大學俄文法政學院附中,,,
北京大學女子文理學院,,,
北京女子大學,,,
北京女子文理學院,,,
北京女子高等師范學校,,,
北京工業大學,,,
北京工業專本學校,,,
北京工業專門學校,,,
北京市立會計學校,,,
北京市立第五中學,,,
北京市立高級工業職業學校,,,
北京市立高級職校,,,
北京師范學堂,,,
北京政法大學,,,
北京政法專門學校,,,
北京文學校,,,
北京新式速記傳習所,,,
北京民國學院,,,
北京法商學院,,,
北京法律學堂,,,
北京法政大學,,,
北京法政學校,,,
北京法政專校,,,
北京法政專門學堂,,,
北京法政講習所,,,
北京法文大學,,,
北京畿輔實業學校,,,
北京發專,,,
北京瞿氏夫婦醫院附設產科學校,,,
北京私立中央大學,,,
北京私立中法大學,,,
北京私立求賢中學,,,
北京私立鐵路大學校,,,
北京稅務專門學校,,,
北京第一中學,,,
北京籌邊高等學校,,,
北京美專學校,,,
北京美術學校,,,
北京美術學院,,,
北京美術專校,,,
北京蒙藏專門學校,,,
北京藝術專門學校,,,
北京西郊公立第一中學,,,
北京話中央政治專門學校,,,
北京講學館,,,
北京財政商業專科學校,,,
北京財政部會計傳習所,,,
北京財政部財政講習所,,,
北京軍政無線電校,,,
北京農業專門學校,,,
北京郵電專門學校,,,
北京醫學專校,,,
北京醫學專門學校,,,
北京鐵路大學,,,
北京鐵路學院,,,
北京陸軍第一預備學校,,,
北京陸軍軍需學校,,,
北京體專,,,
北京高等專門稅務學校,,,
北京高等師范學校,,,
北京高等警務學堂,,,
北京高級商業學校,,,
北京高級師范學校,,,
北京鹽務專門學校,,,
北方軍事政治學校,,,
北洋海軍醫學校,,,
北洋醫學院,,,
北洋高等巡官學堂,,,
北碚立信會計學校,,,
匯文中學,,,
匯文大學,,,
匯文書院,,,
協和大學,,,
協和女師,,,
協和醫學院,,,
南京一中,,,
南京三民中學,,,
南京中學,,,
南京中學校,,,
南京中華女中,,,
南京五卅中學,,,
南京公立工業專門學校,,,
南京匯文女子高中,,,
南京商師附中,,,
南京工業專門學校,,,
南京市女子中學,,,
南京市立小學,,,
南京市立第一中學高中部,,,
南京市立第一女子高中,,,
南京市立第一高中,,,
南京市立職業學校,,,
南京市立職業學校會計班,,,
南京市青年會高中,,,
南京文化學院,,,
南京法政學堂,,,
南京法政學校,,,
南京法政講習所,,,
南京甲種工業學校,,,
南京私立會計專門學校,,,
南京第一女子中學,,,
南京美專,,,
南京講武學堂,,,
南京警官學校,,,
南京軍官教育團,,,
南京軍需學校,,,
南京巡警學堂,,,
南京鍾英中學,,,
南京陸軍小學,,,
南京青年會中學,,,
南京青年會中學高中,,,
南京青年會初中,,,
南京青年會學校,,,
南京青年會求實中學,,,
南京青年會華文速記專科,,,
南京首都女中,,,
南京體育師范學校,,,
南京鼓樓醫院,,,
南偉烈中學,,,
南昌法政專校,,,
南昌私立大同中學,,,
南昌豫章舊制中學,,,
南昌高等師范學校,,,
南明中學,,,
南泉鄉村師范速成班,,,
南洋方言學堂,,,
南洋炮兵,,,
南洋講武堂,,,
南洋霹靂育才學校,,,
南洋高級商校,,,
南海中學,,,
南海崇德書院,,,
南滿醫學院,,,
南菁中學,,,
南華大學,,,
南通中學,,,
南通大學醫學院,,,
南通女子師范,,,
南通師范,,,
南通紡織專門學校,,,
南通警務學校,,,
南通農學院,,,
南通農業專門學校,,,
南開中學,,,
南開中學高中部,,,
南開學校,,,
南開高中,,,
南陽大學,,,
南陽方？學,,,
南陽高級商業專門學校,,,
南青舊制學校,,,
印度大學,,,
參謀大學,,,
參謀本部中央陸地測量學校,,,
參謀本部邊務研究所,,,
台山縣立中學,,,
台山鳳崗書院,,,
合作人員訓練所研究班,,,
合作社研究所,,,
合肥省立盧州師范,,,
合肥縣立城東高小,,,
吉林法政學堂,,,
吉林省法政專門學校,,,
吉林陸軍小學,,,
同文中學,,,
同文高等學校,,,
同濟中學,,,
吳川縣立中學,,,
吳江中學,,,
吳江縣立舊制中學,,,
吳江育英高中,,,
吳淞中國公學,,,
吳淞商船專科學校,,,
吳淞海軍學校,,,
吳縣晏成中學,,,
吳興私立東吳第三中學,,,
吳興縣立女中,,,
周南女校,,,
周南高中,,,
呼涂克圖,,,
哈爾泊中俄法科大學,,,
哈爾濱俄文法政大學,,,
唐山路鑛学校,,,
商科專業學校,,,
嘉興女中,,,
嘉興秀州書院,,,
嘉興私立秀州小學,,,
四川上升法政學校,,,
四川公學,,,
四川商專,,,
四川夔州聯中,,,
四川外國語學院,,,
四川大學附屬高中部,,,
四川川東聯立師范學校,,,
四川復性學院,,,
四川成都法政專門學校,,,
四川文學院,,,
四川文書專門學校,,,
四川文理學院,,,
四川江津正則會計學校,,,
四川法政學堂,,,
四川璧山縣立中學,,,
四川省教育學校,,,
四川省立中學,,,
四川省立嘉陵高級中學,,,
四川省立奉蔇中學,,,
四川省立成都女子師范,,,
四川省立第一女子師范學校高中,,,
四川省立第一工科高中,,,
四川省立第一師范,,,
四川省立第三師范學校,,,
四川省立第六中學,,,
四川省立綿陽中學,,,
四川省立資中中學,,,
四川省立農林職業學校,,,
四川省立重慶高級商科學校,,,
四川省立重慶高級工業職業學校,,,
四川省立龍潭中學高師,,,
四川省縣政人員訓練所,,,
四川省訓練團第十五區訓練班財務組,,,
四川省通才師范,,,
四川私立法政專門學校,,,
四川聯合中學,,,
四川西南公學,,,
四川財務人員訓練所,,,
四川財政專門學校,,,
四川通省師范學堂,,,
四川鐵道學堂,,,
四川陸軍講武堂軍校高級教育班中訓團,,,
四川陸軍軍醫學校,,,
四川高等國醫學校,,,
四川高等學校,,,
四川高等工業學校,,,
四川高等巡警學堂,,,
國中大學堂,,,
國學專修學校,,,
國學專校,,,
國學研究社,,,
國家警官學校,,,
國府參軍處典禮局司儀人員訓練班,,,
國民大學,,,
國民學院,,,
國民東南大學,,,
國民法政大學,,,
國民聯軍第四路軍官教遵團,,,
國民革命軍總司令部政治部政治人員養成所,,,
國立大學,,,
國立工業專門學校,,,
國立師范大學,,,
地政人員訓練所第一期,,,
坤成小學,,,
執信中學,,,
培根職業學校,,,
士官學校,,,
壽邊高等學校,,,
壽邊高等專門學校,,,
夏口縣立模范小學,,,
外交部俄文專修館,,,
大公中學,,,
大同中學,,,
大埔縣立中學,,,
大夏中學,,,
大夏附中,,,
大學,,,
大學院行政法專研,,,
大正大學,,,
大興縣立初中,,,
大道法政學院,,,
大麓中學,,,
大麓高中,,,
天津工商大學,,,
天津模范第一小學,,,
天津水產專門學校,,,
天津法商學院,,,
天津甲種商業學校,,,
天津電報學堂,,,
太倉中學,,,
太原三晉高級中學,,,
奉化錦溪中學,,,
奉天初級師范,,,
奉天專門工業學校,,,
奉天農林專門學校,,,
奉賢縣中,,,
奧爾干太學,,,
如皋私立商業學校,,,
如皋自治研究所,,,
威茲堡醫科大學,,,
孫逸仙大學,,,
學部游學考試覆試,,,
學部留學試驗獎給法政,,,
學部試驗獎給法政科,,,
安定中學校,,,
安徽中學,,,
安徽優級師范,,,
安徽全椒縣立舊制中學,,,
安徽公學,,,
安徽公立碧陽師范,,,
安徽六縣聯立中學,,,
安徽六邑中學,,,
安徽合肥正誼中學,,,
安徽合肥縣立中學,,,
安徽大學堂,,,
安徽大學文學院,,,
安徽大學法學院,,,
安徽太平中學,,,
安徽官立法政學堂,,,
安徽政治學校,,,
安徽東南法政專門學校,,,
安徽桐城中學,,,
安徽法政學堂,,,
安徽淮西中學,,,
安徽省一女中高師科,,,
安徽省立一中,,,
安徽省立一師講習科,,,
安徽省立公職制革科,,,
安徽省立地方行政所,,,
安徽省立大公中學,,,
安徽省立安慶高級中學,,,
安徽省立工業學校,,,
安徽省立師范,,,
安徽省立徽州師范,,,
安徽省立法政專科學校,,,
安徽省立法政專門學校,,,
安徽省立甲種工業學校,,,
安徽省立盧州師范,,,
安徽省立第一中學,,,
安徽省立第一高級師范,,,
安徽省立第二中學,,,
安徽省立第五中學,,,
安徽省立第五師范,,,
安徽省立第六中學,,,
安徽省立第六師范,,,
安徽省立第六師范學校,,,
安徽省立農業職業學校,,,
安徽省立高中師范,,,
安徽省立高級中學,,,
安徽省立鳳陽高中,,,
安徽省第一女師,,,
安徽省第五中學,,,
安徽第九師范,,,
安徽第五師范,,,
安徽聖保高中,,,
安徽蕪湖蕪關中學,,,
安徽警察學校,,,
安徽陸軍將校學校,,,
安徽靈璧縣立師范,,,
安徽高等學堂第二類,,,
安徽高等學校,,,
安徽鳳陽中學,,,
安慶中學,,,
安慶六一中學校,,,
安慶六邑中學,,,
安慶師范,,,
安新縣立師范,,,
安陽高中,,,
宗文中學,,,
宗漢會計學校,,,
定海高中,,,
宛平師范學堂,,,
宜漢中學,,,
宜興女師,,,
宜興縣立文廟小學,,,
宜都縣立中學,,,
宜都縣立尚實中學,,,
宜都縣立高等小學,,,
家塾,,,
富陽新關村美新小學,,,
實業商業學校,,,
實科學校,,,
寧佛大學研究院,,,
寧波三一中學,,,
寧波商業學校,,,
寧波師范,,,
寧波效實中學,,,
寧波法政學校,,,
寧波甲種商業學校,,,
寧波裴迪中學,,,
寧波警察學堂,,,
寧波高業專門學校,,,
寧縣立甲科商業校,,,
寶山縣立師范學校,,,
寶業部禾稻檢驗人員訓練班,,,
專科以上學校,,,
專門法政,,,
小站隨營學校,,,
尚德中學,,,
尚志甲種商業學校,,,
就業訓導班,,,
屈地市航空學校,,,
山東並目學校,,,
山東中學,,,
山東十一中學,,,
山東商業大學,,,
山東客籍高等學堂,,,
山東師范學校,,,
山東惠民高中,,,
山東法政學院高等訓練班,,,
山東法政專門學校,,,
山東泰安鄉師,,,
山東濟南商專,,,
山東濟南正誼中學,,,
山東甲種商業專門學校,,,
山東省無線電專門學校,,,
山東省當政軍干部學校,,,
山東省立模范學校,,,
山東省立法政專門學校,,,
山東省立礦業專門學校,,,
山東省立第一中學,,,
山東省立第三中學,,,
山東省立第二中學,,,
山東省立第五中學,,,
山東省立第十中學,,,
山東省立第四中學,,,
山東省立第四師范,,,
山東省立臨沂高中,,,
山東省第十中學,,,
山東省臨時政治學院,,,
山東郎村建設研究按,,,
山東鄉村建設研究部,,,
山東陸軍學校,,,
山東高等專門學校,,,
山東齊魯大學醫學院,,,
山西優級師范,,,
山西大學堂中學,,,
山西省立商業專門學校,,,
山西省立國民師范,,,
山西省立師范學校,,,
山西省立法學院,,,
山西省立無線電學校,,,
山西省立第三中學,,,
山西省立農業專科學校,,,
山西行政研究所,,,
山西行政訓練所,,,
山西陸軍小學,,,
山西高等學堂,,,
岡州中學,,,
岳陽縣立中學,,,
岳陽美立湖濱高中,,,
崇德高中,,,
崇慶中學,,,
崇文中學,,,
崞縣中學,,,
嵩陽中學,,,
嶺南中學,,,
巔南大學,,,
川＊中學,,,
川北聯立高中學校,,,
川南國立師范,,,
川南私立高級師范,,,
川東縣立師范,,,
巢縣弘文中學,,,
巢縣縣立高小,,,
工程學校,,,
工程專門學校,,,
巴縣中學,,,
巴縣惠民鄉第三高小,,,
巴縣縣立中學,,,
巴黎國際學院,,,
巴黎工程大學,,,
巴黎法政大學,,,
巴黑森林專科,,,
師範學校,,,
師范,,,
師范大學,,,
師范學院,,,
常寧會通法政學校,,,
常州中學,,,
常德縣立一中,,,
常德高中,,,
常熟縣立第一高等小學,,,
平民大學,,,
平民學院,,,
平漢路事務見習所,,,
平漢鐵路車務見習所,,,
度支部計學館,,,
廈門同文書院,,,
廣兩方言高等專門學堂,,,
廣州培正中學校,,,
廣州女子師范,,,
廣州工業專門學校,,,
廣州市立師范學校,,,
廣州市立第二十八小學,,,
廣州河南競存商業學校,,,
廣州法學院,,,
廣州法政專門學校,,,
廣州知用中學,,,
廣州統計專校,,,
廣東兩廣師范學校,,,
廣東商業專門學校,,,
廣東國民學校,,,
廣東國立大學,,,
廣東女子師范,,,
廣東寧陽書院,,,
廣東將弁學堂,,,
廣東嶺南中學,,,
廣東師范學校,,,
廣東時敏中學,,,
廣東普寧縣第三區立高級小學,,,
廣東書院,,,
廣東江門景賢中學,,,
廣東法學院,,,
廣東法政學堂,,,
廣東法政學校,,,
廣東法政專門學校,,,
廣東法科學院,,,
廣東番禺師范,,,
廣東省科吏館,,,
廣東省立一女師高中師范科,,,
廣東省立勷勤大學商學院,,,
廣東省立勷勤大學工學院,,,
廣東省立商專,,,
廣東省立嶺東商業學校,,,
廣東省立工業專門學校,,,
廣東省立文理學院,,,
廣東省立第二中學,,,
廣東省立第五中學,,,
廣東省立第四中學,,,
廣東省課吏館,,,
廣東知用高中,,,
廣東統計學校,,,
廣東航空學校,,,
廣東警官學校,,,
廣東財政應會計人員講習班,,,
廣東農業改進所,,,
廣東陸軍中醫公學,,,
廣東陸軍學校,,,
廣東陸軍體育學校,,,
廣東高等學校,,,
廣東高等師范學校,,,
廣濟大公中學,,,
廣濟永興甲種農業學校,,,
廣濟縣大公中學,,,
廣益中學,,,
廣益女子中學,,,
廣符縣立中學,,,
廣西博白縣立鄉村小學教養所,,,
廣西法政學堂,,,
廣西法政專門學校,,,
廣西省立師范學校,,,
廣西第一師范,,,
廣資縣立師范,,,
廣雅中學,,,
廬江縣立第八小學,,,
延陵中學,,,
建國桂軍軍官學校,,,
建國法政專門學校,,,
建華高中,,,
弘道女子高中,,,
張才速記學校,,,
彭縣立中學,,,
很難省立第一中學校,,,
後藏邊務大學,,,
徐州培心中心,,,
徐州私立徐中,,,
復初中學,,,
復旦大學高中部,,,
德茂思大學,,,
心達大學,,,
心遠中學,,,
志遠中學,,,
恩施中學,,,
愛奧華大學,,,
愛山書院,,,
愛荷華州立農工大學,,,
慈保大學,,,
慈溪縣立錦望學校,,,
懷寧縣中,,,
成公高中,,,
成美中學,,,
成都保干班,,,
成都儲才學校,,,
成都光華大學,,,
成都大學中學,,,
成都天府高中,,,
成都天賦中學高中部,,,
成都師范大學,,,
成都建國高中,,,
成都志誠高級商業,,,
成都敬業中學,,,
成都民立大學,,,
成都華西協和高中,,,
成都華陽縣立中學,,,
成都蜀華中學,,,
成都鈱江大學,,,
成都高師,,,
戰干團政訓班,,,
扶翰中學,,,
扶輪中學,,,
扶雅中學,,,
折蚌寺那讓巴,,,
拉卜楞大寺,,,
拉薩哲蚌寺,,,
拉薩漢藏文拔萃大學,,,
拔貢,,,
持志大學高中,,,
揚丹美漢中學,,,
揚州中學,,,
揚州兩淮中學,,,
揚州數學專修科,,,
揚州數學專科,,,
揚州第八中學,,,
支那內學院法相大學,,,
政治經濟研究院,,,
啟明中學,,,
啟黃中學,,,
教育部國語速記講習所,,,
教育部戰指處計政班,,,
教育部第二屆會計人員訓練班,,,
教育部計政班,,,
教育部計正班,,,
教育部電化教育訓練班,,,
文學院,,,
文治中學,,,
文理科大學,,,
文科大學,,,
文華圖書專科學校,,,
文華圖書館學專校,,,
文華學院,,,
文華高中,,,
文華高中部,,,
新安縣立中學,,,
新書大學院,,,
新民傳習所,,,
新民會計專修館,,,
新生活服務聯動團干部訓練班,,,
新疆學院,,,
新疆省立俄文法政學院,,,
新疆高等學堂,,,
新編第六軍軍官訓練班校官組,,,
新華中學,,,
新華商業專門學校,,,
新華藝術院,,,
旅皖第二公學,,,
昂適工業大學,,,
明德中學,,,
明德大學,,,
明德女子中學,,,
明德高級中學,,,
明欣大學,,,
明義醫科專門學校,,,
明與大學,,,
春元中學,,,
晉城濩澤中學,,,
晏城中學,,,
晏成中學,,,
晏成高中,,,
普勵門學堂,,,
普寧鯉湖高等小學,,,
普林士頓大學,,,
普益中學,,,
景觀高等學堂,,,
晴川中學,,,
暹羅士乃多醫學院,,,
會習法政,,,
會計人員傳習所,,,
朝北經心書院,,,
本旗崇政學堂,,,
本經大學堂譯學館,,,
本部田訓所,,,
本部財務人員訓練班,,,
本部部立法政專門,,,
本院氣候訓練班,,,
札什倫布哲西札大學,,,
杉江中學,,,
杭州公立法政學院,,,
杭州共和法政學校,,,
杭州宏道女中,,,
杭州師范學校,,,
杭州師范專修科,,,
杭州省立女師,,,
杭州青波中學,,,
杭州高中,,,
杭縣師范,,,
東亞體專,,,
東京女子大學第二部,,,
東京高等蠶絲學校,,,
東北中學,,,
東北中山中學,,,
東北大學教育學院,,,
東北大學法學院,,,
東北講武堂速成班,,,
東北農學院,,,
東南中學,,,
東台維東小學,,,
東吳中學,,,
東吳大學第二中學高中,,,
東方中學,,,
東方美術專科學校,,,
東林書院,,,
東省特別區商業專門學校,,,
東運中學,,,
枝江師范學校,,,
柯倫治工程行,,,
格魯大學,,,
桂山中學,,,
桂林國民學校,,,
桃塢中學,,,
桐城縣中學,,,
桐生高等工業學校,,,
桐縣中學,,,
楚怡中學,,,
楚怡甲種工業學校,,,
楚才中學,,,
榮昌縣立初中,,,
樂群會計專校,,,
檢察院會計員養成所,,,
檢查干班,,,
檳城私立商業專修學堂,,,
正誼中學,,,
正風高中,,,
武大研究所,,,
武嶺農業職業學校,,,
武昌三一中學,,,
武昌中學,,,
武昌中山大學,,,
武昌中華大學舊制中學,,,
武昌商業專門學校,,,
武昌商業職業學校,,,
武昌商科大學校專門部,,,
武昌師范大學,,,
武昌文學中學,,,
武昌文華中學,,,
武昌求是中學,,,
武昌法政專校,,,
武昌甲種商業學校,,,
武昌省立中學,,,
武昌省立師范,,,
武昌藝術專門學校,,,
武昌道師范學堂,,,
武昌陸軍第二預備學校,,,
武昌高等學校,,,
武昌高等工業學堂,,,
武昌高等師范學校,,,
武昌高級商職校,,,
武漢會計專校,,,
武漢警官學校,,,
武進中學,,,
武進寄園文學院,,,
武進工專,,,
武進師範學堂,,,
武進私立培梓中學,,,
武進縣女子師范學校,,,
武進縣立第一乙種農校,,,
民元湖北高等巡警學堂,,,
民四川法政學堂,,,
民國政法大學,,,
民國法律學校中訓團,,,
民國法政大學,,,
民國監獄學校,,,
民智中學,,,
民治新聞專科學校,,,
民生計理學校,,,
求精中學,,,
求精中學高中部,,,
求精商學院,,,
求賢中學,,,
江北師范學校,,,
江北陸軍速成學校,,,
江南學院,,,
