Univ_ZhT_Srce;Univ_ZhT_Strd;Univ_Eng;Status_ZhT;Status_Eng;Eng_Source
京師同文館;京師同文館;Jingshi Language Institute;;;
金陵大學;金陵大學;Jinling College;;;
金陵機器局;金陵機器局;Jinling Machinery Bureau;;;
金陵軍官學校;金陵軍官學校;Jinling Military Academy;;;
金陵大學農學院;金陵大學;Jinling College;;;
金陵女子大學;金陵女子大學;Jinling Women's College;;;
金州農業學校;金州農業學校;Jinzhou Agricultural School;;;
錦州農業學校;錦州農業學校;Jinzhou Agricultural School;;;
錦州師範學校;錦州師範學校;Jinzhou Normal School;;;
金州地方警察學校;金州地方警察學校;Jinzhou Police Academy;;;
錦州女子高校;錦州女子高校;Jinzhou Women's College;;;
啓耳大學;啓耳大學;Kaier University;;;
開封高級職業學校;開封高級職業學校;Kaifeng Senior Vocational School;;;
開封大學堂;開封大學堂;Kaifeng University;;;
開原公學校;開原公學校;Kaiyuan public school;;;
經緯學校;經緯學校;Keei School;;;
匡溪藝術學院;匡溪藝術學院;Kuangxi Academy of Art;;;
雲南省昆華高等工業學校;雲南省昆華高等工業學校;Kunhua Higher Technical School of Yunnan Province;;;
勞動大學;勞動大學;Labor University;;;
湖濱大學;湖濱大學;Lakeside University;;;
雷士德工學院;雷士德工學院;Leishi Institute of Technology;;;
雷士德工藝學院;雷士德工藝學院;Lester Institute;;;
兩湖書院;兩湖書院;Lianghu Academy;;;
兩湖師范;兩湖優級師范學校;Lianghu Superior Normal School;;;
兩江女子體育師範學校;兩江女子體育師範學校;Liangjiang Women's Sports Normal School;;;
九江濂溪師范學校;濂溪師范學校;Lianxi Normal School;;;
遼寧公主嶺農業學校;遼寧公主嶺農業學校;Liaoning Gongzhuling Agricultural School;;;
遼寧高等女子學校;遼寧高等女子學校;Liaoning Higher Girls' School;;;
遼寧桓仁縣師範學校;遼寧桓仁縣師範學校;Liaoning Huanren County Normal School;;;
遼寧開原師範學校;遼寧開原師範學校;Liaoning Kaiyuan Normal School;;;
遼寧醫學院;遼寧醫學院;Liaoning Medical College;;;
遼甯醫學院;遼寧醫學院;Liaoning Medical College;;;
遼寧私立坤光女子學校;遼寧私立坤光女子學校;Liaoning Private Kunguang Girls' School;;;
遼寧省立第一工科學校;遼寧省立第一工科學校;Liaoning Provincial First Engineering School;;;
遼寧省立第一師範學校;遼寧省立第一師範學校;Liaoning Provincial First Normal School;;;
遼寧省立女子師範學校;遼寧省立女子師範學校;Liaoning Provincial Girls' Normal School;;;
遼甯省立文學專門校;遼寧省立文學專門校;Liaoning Provincial Literature College;;;
遼寧省立第三師範學校;遼寧省立第三師範學校;Liaoning Provincial Third Normal School;;;
遼寧同善醫科專門學校;遼寧同善醫科專門學校;Liaoning Tongshan Medical College;;;
遼寧同澤學校;遼寧同澤學校;Liaoning Tongze School;;;
遼陽日本甲種商業學校;遼陽日本甲種商業學校;Liaoyang Japanese Class A Business School;;;
遼陽師範學校;遼陽師範學校;Liaoyang Normal School;;;
遼陽女子師範學校;遼陽女子師範學校;Liaoyang Women's Normal School;;;
遼源師範學校;遼源師範學校;Liaoyuan Normal School;;;
自由學園北京生活學校;自由學園北京生活學校;Liberty Academy Beijing Life School;;;
山西省立川至醫學專科學校;山西省立川至醫學專科學校;Lichuanzhi Medical College;;;
上海立達學院;立達學院;Lida College;;;
立達學院;立達學院;Lida College;;;
遼東省立復縣師範學校;遼東省立復縣師範學校;Lifu County Normal School in Liaodong Province;;;
醴陵遵道大學;醴陵遵道大學;Liling Zundao University;;;
廣東佛學院嶺東學院;廣東佛學院嶺東學院;Lingdong College of Guangdong Buddhist University;;;
嶺南大學;嶺南大學;Lingnan University;;;
臨江師範學院;臨江師範學院;Linjiang Normal University;;;
六合縣立第一中學;六合縣立中學;Liuhu County Middle School;;;
上海立信會計專科學校;立信會計專科學校;Lixin Accounting Vocational School;;;
龍門師範學堂;龍門師範學堂;Longmen Normal School;;;
洛維其騎兵學校;洛維其騎兵學校;Loweche Cavalry School;;;
洛威治軍校;洛威治軍校;Lowwich Military Academy;;;
潞河書院;潞河書院;Luhe Academy;;;
盧那察爾斯基戲劇學院;盧那察爾斯基戲劇學院;Lunacharsky Drama Academy;;;
廬山暑期團及中訓團第一期;廬山訓練團;Lushan Training Corps;;;
廬山暑期訓練團;廬山訓練團;Lushan Training Corps;;;
廬山訓練所;廬山訓練團;Lushan Training Corps;;;
旅順高等公學校;旅順高等公學校;Lüshun High School;;;
旅順高等女學校;旅順高等女學校;Lüshun High School for Girls;;;
旅順師範學校;旅順師範學校;Lüshun Normal School;;;
旅順警察練習所;旅順警察練習所;Lüshun Police Training Center;;;
旅順工科大學;旅順工科大學;Lüshun University of Technology;;;
澳門明德產科專校;澳門明德產科專校;Macau Mingde Obstetrics College;;;
機床工具學院;機床工具學院;Machine Tool College;;;
機床研究院;機床研究院;Machine Tool Research Institute;;;
大陸商專;大陸商專;Mainland Business School;;;
滿洲大陸專門學校;滿洲大陸專門學校;Manchuria Continental College;;;
滿洲大同學院;滿洲大同學院;Manchuria Datong University;;;
滿洲英語專門學校;滿洲英語專門學校;Manchuria English College;;;
滿洲醫科大學;滿洲醫科大學;Manchuria Medical University;;;
滿洲法政學院;滿洲法政學院;Manchurian College of Law and Politics;;;
馬列學院;馬列學院;Marxist College;;;
馬列主義研究院;馬列主義研究院;Marxist-Leninist Institute;;;
馬列主義研究室;馬列主義研究室;Marxist-Leninist Research Office;;;
法師養成校;法師養成校;Master training school;;;
法師大學;法師大學;Master University;;;
機械化騎兵專門學校;機械化騎兵專門學校;Mechanized Cavalry Academy;;;
醫科大學;醫科大學;Medical University;;;
梅縣縣立師範學校;梅縣縣立師範學校;Meixian County Normal School;;;
蒙旗師範學校;蒙旗師範學校;Mengqi Normal School;;;
軍校特訓班政治隊;軍校特訓班;Military Academy Special Training Class;;;
軍醫學校;軍醫學校;Military Medical School;;;
軍事學校;軍事學校;Military school;;;
軍需學校學員班;軍需學校;Military Supply School;;;
軍需學校學生班;軍需學校;Military Supply School;;;
軍需學校第二期會計統計訓練班;軍需學校;Military Supply School;;;
軍需學校經理科戰時工作訓練團;軍需學校;Military Supply School;;;
軍需學校計政人員訓練班;軍需學校;Military Supply School;;;
軍需學校計政班;軍需學校;Military Supply School;;;
軍需校;軍需學校;Military Supply School;;;
軍需校學員班;軍需學校;Military Supply School;;;
軍需校特訓班;軍需學校;Military Supply School;;;
軍需校計政班;軍需學校;Military Supply School;;;
軍需訓練班;軍需學校;Military Supply School;;;
軍事訓練班;軍事訓練班;Military training class;;;
上海明光高中;明光高中;Mingguang High School;;;
上海明強中學;明強中學;Mingqiang Middle School;;;
交通部電報高等學堂;交通部電報高等學堂;Ministry of Communications and Telegraph College;;;
交通部立上海工業專門學校;交通部立上海工業專門學校;Ministry of Communications Shanghai Institute of Technology;;;
財政部財政專門學校;財政部財政專門學校;Ministry of Finance Finance College;;;
外交部俄文法政專校;外交部俄文法政專門學校;Ministry of Foreign Affairs Russian Law and Politics Vocational School;;;
外交部立俄文法政專門學校;外交部俄文法政專門學校;Ministry of Foreign Affairs Russian Law and Politics Vocational School;;;
外交部部立俄文法政專門學校;外交部俄文法政專門學校;Ministry of Foreign Affairs Russian Law and Politics Vocational School;;;
外交部部立法政專門;外交部俄文法政專門學校;Ministry of Foreign Affairs Russian Law and Politics Vocational School;;;
內政部警官高等班;內政部警官高等學校;Ministry of Internal Affairs Police College;;;
內政部警高;內政部警官高等學校;Ministry of Internal Affairs Police College;;;
司法講習所;司法部立司法講習所;Ministry of Justice Law Training Institute;;;
司法院法官訓練所書記官班;司法部立司法講習所;Ministry of Justice Law Training Institute;;;
上海工部局育才公學;工部局育才公學;Ellis Kadoorie Public School for Chinese;;;
岷江大學;岷江大學;Minjiang University;;;
江北縣立舊制中學;江北縣立中學;Jiangbei County Middle School;;;
江北舊制中學;江北縣立中學;Jiangbei County Middle School;;;
上海民立高中;民立高中;Minli Senior High School;;;
閩南佛學院;閩南佛學院;Minnan Buddhist College;;;
蒙古崇正師範學校;蒙古崇正師範學校;Mongolia Chongzheng Normal School;;;
蒙古學院;蒙古學院;Mongolian Academy;;;
蒙古指導訓練所;蒙古指導訓練所;Mongolian Guidance and Training Institute;;;
蒙古青年學校;蒙古青年學校;Mongolian Youth School;;;
慕漢尼航空學校;慕漢尼航空學校;Muhani Aviation School;;;
音樂專科學校;音樂專科學校;Music Academy;;;
南昌師範學校;南昌師範學校;Nanchang Normal School;;;
南昌大學;南昌大學;Nanchang University;;;
上海南充文商專門學校;南充文商專門學校;Nanchong Commerce and Trade School;;;
南國藝術學院;南國藝術學院;National Art Academy;;;
南京美術專門學校;南京美術專門學校;Nanjing Academy of Fine Arts;;;
南京文藝專科學校;南京文藝專科學校;Nanjing College of Literature and Art;;;
南京高等商業學院;南京高等商業學院;Nanjing Higher Commercial College;;;
南京高等師范;南京高等師范學校;Nanjing Higher Normal School;;;
南京高等師范國語專修科;南京高等師范學校;Nanjing Higher Normal School;;;
南京高等師范本科;南京高等師范學校;Nanjing Higher Normal School;;;
南京軍官學校;南京軍官學校;Nanjing Military Academy;;;
南京臨大;南京臨大;Nanjing Temporary University;;;
南京女子法政講習所;南京女子法政講習所;Nanjing Women's Law and Politics Workshop;;;
南京女子體育師範學校;南京女子體育師範學校;Nanjing Women's Sports Normal School;;;
南開大學;南開大學;Nankai University;;;
南開大學文學院;南開大學;Nankai University;;;
南開大學經濟研究所;南開大學;Nankai University;;;
南開大學預科;南開大學;Nankai University;;;
南京大學;南京大學;Nanking University;;;
南通農科大學;南通農科大學;Nantong Agricultural University;;;
南通甲種農業學校;南通甲種農業學校;Nantong Class A Agricultural School;;;
南通學院;南通學院;Nantong College;;;
南通縣立女子師範學校;南通縣立女子師範學校;Nantong County Girls' Normal School;;;
南通私立紡織專門學校;南通私立紡織專門學校;Nantong Private Textile College;;;
南通代用師範學校;南通代用師範學校;Nantong Substitute Normal School;;;
南通大學;南通大學;Nantong university;;;
九江南偉烈大學;南偉烈大學;Nanwei University;;;
九江南偉烈大學校;南偉烈大學;Nanwei University;;;
南洋高級商業學校;南洋高級商業學校;Nanyang Advanced Business School;c;;
上海南洋高級商校;南洋高級商業專門學校;Nanyang Advanced Commercial School;;;
上海南洋高級商業專門學校;南洋高級商業專門學校;Nanyang Advanced Commercial School;;;
上海南陽高級商業學校;南陽高級商業學校;Nanyang Advanced Commercial School;;;
上海南陽中學;南陽中學;Nanyang High School;;;
南洋陸師學堂;南洋陸師學堂;Nanyang Lushi College;;;
南洋醫學院;南洋醫學院;Nanyang Medical College;;;
上海南洋醫學院;南洋醫學院;Nanyang Medical College;;;
上海私立南洋中學;南洋中學;Nanyang Middle School;;;
上海南洋公學;南洋公學;Nanyang Public School;;;
南洋路礦學校;南洋路礦學校;Nanyang Road and Mining School;;;
上海南洋路廣專門學校;南洋路廣專門學校;Nanyang Road Guang Vocational School;;;
上海南洋路礦專校;南洋路礦專校;Nanyang Road Mining School;;;
上海私立南洋路礦專門學校;南洋路礦專門學校;Nanyang Road Mining Vocational School;;;
上海南洋路鏞專門學校;南洋路鏞專門學校;Nanyang Road Yong Vocational School;;;
南洋大學;南洋大學;Nanyang University;;;
上海南洋大學;南洋大學;Nanyang University;;;
上海南國藝術學院;南國藝術學院;National Art Academy;;;
國立北京美術專門學校;國立北京美術專門學校;National Beijing Academy of Fine Arts;;;
國立北京藝術專門學校;國立北京藝術專門學校;National Beijing Art College;;;
國立北京法政大學;國立北京法政大學;National Beijing University of Law and Politics;;;
國立北京工業大學;國立北京工業大學;National Beijing University of Technology;;;
國立北京女子大學;國立北京女子大學;National Beijing Women's University;;;
國立中央大學;中央大學;Central University;;;
國立浙江大學;浙江大學;Chekiang University;;;
國立中山大學;中山大學;Chung-shan University;;;
國防醫學院;國防醫學院;National Defense Medical College;;;
民國女子工藝學校;民國女子工藝學校;National Girls' Craft School;;;
國立廣東法科學院;國立廣東法科學院;National Guangdong Academy of Law;;;
國立廣東高等師範學校;國立廣東高等師範學校;National Guangdong Higher Normal School;;;
國立杭州藝術專科學校;國立杭州藝術專科學校;National Hangzhou Art College;;;
國立統計學院;國立統計學院;National Institute of Statistics;;;
國立音樂專科學校;國立音樂專科學校;National Music Conservatory;;;
國立西北大學;西北大學;Northwest University;;;
西北大學法商學院;國立西北大學;National Northwest University;;;
西北大學法學院;國立西北大學;National Northwest University;;;
國立北京大學;國立北京大學;Beijing University;;;
全國人員訓練所研究班;全國人員訓練所;National Personnel Training Institute;;;
國家物理實驗室;國家物理實驗室;National Physical Laboratory;;;
國立政治大學;國立政治大學;National Political University;;;
國家血清研究所;國家血清研究所;National Serum Institute;;;
國立沈陽高等師範學校;國立沈陽高等師範學校;National Shenyang Higher Normal School;;;
國立四川大學;四川大學;Sichuan University;;;
國立台灣大學;台灣大學;Taiwan University;;;
民國大學;民國大學;National University;;;
國立商科大學;國立商科大學;National University of Commerce;;;
國立武昌高等師範學校;國立武昌高等師範學校;National Wuchang Higher Normal School;;;
海軍兩棲作戰參謀班;海軍兩棲作戰參謀班;Naval Amphibious Operations Staff;;;
海軍高級專科學校;海軍高級專科學校;Naval High School;;;
海軍水雷學校;海軍水雷學校;Naval Mine School;;;
海軍雷電學校;海軍雷電學校;Naval Raiden School;;;
海軍學校;海軍學校;Naval school;;;
海軍魚雷航海信號槍炮學校;海軍魚雷航海信號槍炮學校;Naval Torpedo Nautical Signal Gun School;;;
海軍大學;海軍大學;Naval University;;;
海軍魚雷槍炮學校;海軍魚雷槍炮學校;Navy torpedo gun school;;;
納薩瑞斯女子大學;納薩瑞斯女子大學;Nazareth Women's University;;;
日本大學經濟學部研究院;日本大學;Nihon University;;;
寧波中山公學;寧波中山公學;Ningbo Zhongshan Public School;;;
甯屬師范學堂;寧屬師范學堂;Ningfu Normal School;;;
甯垣法政學校;寧垣法政學校;Ningyuan Law and Politics School;;;
師範學院;師範學院;Normal university;;;
華北法商學院;華北法商學院;North China Law Business School;;;
華北協和女醫校;華北協和女醫校;North China Union Medical College for Women;;;
北京華北大學;北京華北大學;North China University;;;
北滿師範大學;北滿師範大學;North Manchuria Normal University;;;
北滿鐵路技術傳習所;北滿鐵路技術傳習所;North Manchurian Railway Technical Training Institute;;;
東北陸軍講武堂;東北陸軍講武堂;Northeast Army Lecture Hall;;;
東北航警學校;東北航警學校;Northeast Aviation Police School;;;
東北交通大學;東北交通大學;Northeast Jiaotong University;;;
東北商船專科學校;東北商船專科學校;Northeast Merchant Marine College;;;
東南大學上海商科;東南大學;Southeast University;;;
東南大學分設上海商科大學;東南大學;Southeast University;;;
東南大學府屬中學;東南大學;Southeast University;;;
東南大學畢業;東南大學;Southeast University;;;
東北大學;東北大學;Northeast University;;;
北方高等學校;北方高等學校;Northern higher school;;;
西北農學院;西北農學院;Northwest Agricultural College;;;
西北陸軍幹部學校;西北陸軍幹部學校;Northwest Army Cadre School;;;
西北陸軍教練所;西北陸軍教練所;Northwest Army Training Institute;;;
西北工學院;西北工學院;Northwest Institute of Technology;;;
西北師範學院;西北師範學院;Northwest Normal University;;;
西北軍官教導團;西北軍官教導團;Northwest Officers' Teaching Corps;;;
西北大學;西北大學;Northwest University;;;
西北大學理學院;西北大學;Northwest University;;;
西北醫學院;西北醫學院;Northwestern Medical School;;;
西北聯合大學;西北聯合大學;Northwestern Union University;;;
兵工學校;兵工學校;Ordnance School;;;
東方學院;東方學院;Oriental Academy;;;
東方藝專;東方藝專;Oriental Art School;;;
東方語言學院;東方語言學院;Oriental Language Institute;;;
東方語文專科學校;東方語文專科學校;Oriental Language School;;;
上海格致公學;格致公學;Gezhi Academy;;;
太平洋學院;太平洋學院;Pacific College;;;
帕爾瑪學校;帕爾瑪學校;Palma School;;;
潘陽英國長老會醫科專門學校;潘陽英國長老會醫科專門學校;Panyang Presbyterian Medical College;;;
愛國女學校;愛國女學校;patriotic girls' school;;;
上海愛國女校;愛國女校;Patriotic Girls' School;;;
培華學校;培華學校;Peihua School;;;
北平新聞學校;北京新聞學校;Beijing Journalism School;;;
北京協和醫學院;北京協和醫學院;Beijing Union Medical College;;;
北京大學俄文法政學院;北京大學;Beijing University;;;
北京大學國文系;北京大學;Beijing University;;;
北京大學堂;北京大學;Beijing University;;;
北京大學文學院;北京大學;Beijing University;;;
北京大學法商學院;北京大學;Beijing University;;;
北京大學法學院;北京大學;Beijing University;;;
北京大學法政大學;北京大學;Beijing University;;;
北京大學研究所;北京大學;Beijing University;;;
北京大學第一工學院;北京大學;Beijing University;;;
北京大學醫學院;北京大學;Beijing University;;;
彭德山學院;彭德山學院;Pengdeshan College;;;
彼得堡大學;彼得堡大學;Petersburg University;;;
平陽縣高等學堂;平陽縣高等學堂;Pingyang County College of Higher Learning;;;
奉天省公署警務廳;奉天省公署警務廳;Police Department of Fengtian Provincial Office;;;
黑龍江省公署警務廳;黑龍江省公署警務廳;Police Department of Heilongjiang Provincial Office;;;
政治大學;政治大學;Political University;;;
滿洲留學生豫備學校;滿洲留學生豫備學校;Preparatory School for International Students in Manchuria;;;
私立奉天醫科專門學校;私立奉天醫科專門學校;Private Fengtian Medical College;;;
私立福建法政專門學校;私立福建法政專門學校;Private Fujian School of Law and Politics;;;
私立廣東公醫醫學專門學校;私立廣東公醫醫學專門學校;Private Guangdong Public Medical College;;;
私立江蘇女子職業學校;私立江蘇女子職業學校;Private Jiangsu Women's Vocational School;;;
立信會計學校;私立立信會計專科學校;Private Lixin Accounting Vocational School;;;
立信會計補習學校;私立立信會計專科學校;Private Lixin Accounting Vocational School;;;
私立南通醫學專門學校;私立南通醫學專門學校;Private Nantong Medical College;;;
私立輕陽學院;私立輕陽學院;Private Qingyang College;;;
私立蘇州美術專科學校;私立蘇州美術專科學校;Private Suzhou Academy of Fine Arts;;;
私立同濟醫工專門學校;私立同濟醫工專門學校;Private Tongji Medical and Engineering College;;;
私立武昌藝術專科學校;私立武昌藝術專科學校;Private Wuchang Art College;;;
私立武昌文華圖書館學專科學校;私立武昌文華圖書館學專科學校;Private Wuchang Wenhua College of Library Science;;;
私立無錫國學專修學校;私立無錫國學專修學校;Private Wuxi Chinese Studies School;;;
私立豫章法政專門學校;私立豫章法政專門學校;Private Yuzhang College of Law and Politics;;;
私立正風文學院;私立正風文學院;Private Zhengfeng Literature College;;;
私立仲愷農工學校;私立仲愷農工學校;Private Zhongkai Agricultural and Industrial School;;;
省立女子高等學校;省立女子高等學校;Provincial Girls' Higher School;;;
省立淮陽師範學校;省立淮陽師範學校;Provincial Huaiyang Normal School;;;
普洱中華學校;普洱中華學校;Pu'er Chinese School;;;
上海浦東中學;浦東中學;Pudong Middle School;;;
齊魯大學;齊魯大學;Qilu University;;;
齊魯大學軍需學校計政訓練班;齊魯大學;Qilu University;;;
齊魯大學醫學院;齊魯大學;Qilu University;;;
上海啟明女校發文專科;啟明女校發文專科;Qiming Girls' School Specialized Department;;;
啟明女學;啟明女學;Qiming Women's School;;;
青島學院商業學校;青島學院商業學校;Qingdao College Business School;;;
青島高等女學校;青島高等女學校;Qingdao Higher Girls' School;;;
青島醫學專門學校;青島醫學專門學校;Qingdao Medical College;;;
青島中德大學;青島中德大學;Qingdao Sino-German University;;;
淸華大學;淸華大學;Qinghua University;c;;
青山學院;青山學院;Qingshan College;;;
清源師範學校;清源師範學校;Qingyuan Normal School;;;
齊齊哈爾高等師範專科學校;齊齊哈爾高等師範專科學校;Qiqihar Higher Teachers College;;;
齊齊哈爾工業學校;齊齊哈爾工業學校;Qiqihar Industrial School;;;
齊齊哈爾日語專修學校;齊齊哈爾日語專修學校;Qiqihar Japanese Language School;;;
齊齊哈爾女子國民高校;齊齊哈爾女子國民高校;Qiqihar Women's National High School;;;
上海啟秀女中;啟秀女中;Qixiu Girls' High School;;;
啟秀女學;啟秀女學;Qixiu Girls' School;;;
群治大學;群治大學;Qunzhi University;;;
上海群治大學;群治大學;Qunzhi University;;;
鐵道學院;鐵道學院;Railway Institute;;;
正則預備學校;正則預備學校;Regular prep school;;;
正則學校;正則學校;Regular school;;;
瑞特大學;瑞特大學;Reiter University;;;
革命軍第二十四軍軍事政治學校;革命軍第二十四軍軍事政治學校;Revolutionary Army 24th Army Military and Political School;;;
濱江工科學校;濱江工科學校;Riverside Engineering School;;;
濱江法學院;濱江法學院;Riverside Law School;;;
濱江大學;濱江大學;Riverside University;;;
路礦學堂;路礦學堂;Road Mine School;;;
如皋女子師範學校;如皋女子師範學校;Rugao Girls' Normal School;;;
盧瑟福研究所石溪大學;盧瑟福研究所石溪大學;Rutherford Institute Stony Brook University;;;
三江省地方警察學校;三江省地方警察學校;Sanjiang Provincial Police School;;;
醫學進修學院;醫學進修學院;School of Continuing Medicine;;;
戲劇學院;戲劇學院;School of Drama;;;
與光學儀器學院;與光學儀器學院;School of Optical Instruments;;;
維茨堡大學藥學院;維茨堡大學藥學院;School of Pharmacy, University of Witzburg;;;
理化專科學校;理化專科學校;School of Physics and Chemistry;;;
熱帶衛生學院;熱帶衛生學院;School of Tropical Hygiene;;;
上海數理專修學校;數理專修學校;Science and Mathematics Specialized School;;;
第七高等學校;第七高等學校;Seventh Higher School;;;
陜西省立師範專科學校;陜西省立師範專科學校;Shaanxi Provincial Teachers College;;;
山東高等學堂;山東高等學堂;Shandong Higher Academy;;;
山東省立第一師範學校;山東省立第一師範學校;Shandong Provincial First Normal School;;;
山東省立女子師範學校;山東省立女子師範學校;Shandong Provincial Girls' Normal School;;;
山東省立競進女校幼稚師範學校;山東省立競進女校幼稚師範學校;Shandong Provincial Jingjin Girls' School Kindergarten Normal School;;;
山東省立舊制中學;山東省立中學;Shandong Provincial Middle School;;;
山東省立第一女子師範學校;山東省立第一女子師範學校;Shandong Provincial No. 1 Normal School for Girls;;;
山東省立第二女子師範學校;山東省立第二女子師範學校;Shandong Provincial Second Girls' Normal School;;;
山東公立農業專門學校;山東公立農業專門學校;Shandong Public Agricultural College;;;
山東公立商業專門學校;山東公立商業專門學校;Shandong Public Commercial College;;;
山東公立工業專門學校;山東公立工業專門學校;Shandong Public Industrial College;;;
山東公立醫學專門學校;山東公立醫學專門學校;Shandong Public Medical College;;;
山東公立礦業專門學校;山東公立礦業專門學校;Shandong Public Mining College;;;
山東公立法政專門學校;山東公立法政專門學校;Shandong Public School of Law and Politics;;;
山東鄉村建設學院;山東鄉村建設學院;Shandong Rural Construction College;;;
山東大學;山東大學;Shandong University;;;
山東大學文學院;山東大學;Shandong University;;;
山東文華女學校;山東文華女學校;Shandong Wenhua Girls' School;;;
山東煙台甲種商業學校;山東煙台甲種商業學校;Shandong Yantai Class A Commercial School;;;
上海文學院;上海文學院;Shanghai Academy of Arts;;;
上海美專;上海美術專科學校;Shanghai Academy of Fine Arts;;;
上海美專高師科舉業;上海美術專科學校;Shanghai Academy of Fine Arts;;;
上海商學院;上海商學院;Shanghai Business School;;;
上海廣方言館;上海廣方言館;Shanghai Cantonese Dialect Institute;;;
滬江大學;滬江大學;Shanghai College;;;
上海商專;上海商業專門學校;Shanghai Commercial College;;;
上海商業專門學校;上海商業專門學校;Shanghai Commercial College;;;
上海文化學院;上海文化學院;Shanghai Cultural Institute;;;
上海海關稅務學校;上海海關稅務學校;Shanghai Customs Taxation School;;;
上海電氣測量學堂;上海電氣測量學堂;Shanghai Electric Measurement School;;;
郵傳部立上海高等實業學堂;郵傳部立上海高等實業學堂;Shanghai Higher Industrial School;;;
上海電學院;上海電學院;Shanghai Institute of Electrical Engineering;;;
上海法政學院;上海法政學院;Shanghai Institute of Law and Politics;;;
上海新聞學院;上海新聞學院;Shanghai Journalism Institute;;;
上海法學院;上海法學院;Shanghai Law School;;;
上海雷氏德工程專科學院;上海雷氏德工程專科學院;Shanghai Lester Engineering College;;;
上海國語模範學校;上海國語模範學校;Shanghai Mandarin Model School;;;
上海醫學院;上海醫學院;Shanghai Medical College;;;
上海市立工業專科學校;上海市立工業專科學校;Shanghai Municipal Industrial College;;;
上海市立體育專科學校;上海市立體育專科學校;Shanghai Municipal Sports College;;;
上海市立師範專科學校;上海市立師範專科學校;Shanghai Municipal Teachers College;;;
上海市立吳淞水產專科學校;上海市立吳淞水產專科學校;Shanghai Municipal Wusong Fisheries College;;;
上海音樂專科學校;上海音樂專科學校;Shanghai Music College;;;
上海國民大學;上海國民大學;Shanghai National University;;;
上海兵工專門學校;上海兵工專門學校;Shanghai Ordnance Technical College;;;
上海私立美術專門學校;上海私立美術專門學校;Shanghai Private Art School;;;
上海私立岡德產科學校;上海私立岡德產科學校;Shanghai Private Gund Obstetrics School;;;
上海私立同德醫學專門學校;上海私立同德醫學專門學校;Shanghai Private Tongde Medical College;;;
上海私立亞東醫科專門大學;上海私立亞東醫科專門大學;Shanghai Private Yadong Medical University;;;
上海三育大學;三育大學;Shanghai Sanyu University;;;
上海中法通惠商工學校;上海中法通惠商工學校;Shanghai Sino-French Tonghui Business School;;;
上海技藝大學;上海技藝大學;Shanghai Technical University;;;
上海臨大;上海臨大;Shanghai Temporary University;;;
上海大學;上海大學;Shanghai University;;;
上海大學文學系;上海大學;Shanghai University;;;
滬江商學院;滬江商學院;Shanghai University Business School;;;
上海法政大學法律專門部;上海法政大學;Shanghai University of Political Science and Law;;;
上海藝術大學;上海藝術大學;Shanghai University of the Arts;;;
上海中醫大學;上海中醫大學;Shanghai University of Traditional Chinese Medicine;;;
上海韋治大學;上海韋治大學;Shanghai Wedge University;;;
上海女子醫學院;上海女子醫學院;Shanghai Women's Medical College;;;
上海知行大學;上海知行大學;Shanghai Zhixing University;;;
上海中華高級商業學校;上海中華高級商業學校;Shanghai Zhonghua Senior Business School;;;
上海中山學院;上海中山學院;Shanghai Zhongshan University;;;
尚賢書院;尚賢書院;Shangxian College;;;
汕頭日語學院;汕頭日語學院;Shantou Japanese Language Institute;;;
山西高等師範學校;山西高等師範學校;Shanxi Higher Normal School;;;
山西教育學院;山西教育學院;Shanxi Institute of Education;;;
山西法學院;山西法學院;Shanxi Law School;;;
山西武備學堂;山西武備學堂;Shanxi Military Academy;;;
山西省立教育學院;山西教育學院;Shanxi Institute of Education;;;
山西省立第一師範學校;山西省立第一師範學校;Shanxi Provincial First Normal School;;;
山西法政學校;山西省立法政專門學校;Shanxi Provincial Institute of Political Science and Law;;;
山西法政專門學校;山西省立法政專門學校;Shanxi Provincial Institute of Political Science and Law;;;
山西省立第一女子師範學校;山西省立第一女子師範學校;Shanxi Provincial No. 1 Normal School for Girls;;;
山西公立農業專門學校;山西公立農業專門學校;Shanxi Public Agricultural College;;;
山西公立商業專門學校;山西公立商業專門學校;Shanxi Public Commercial College;;;
山西公立工業專門學校;山西公立工業專門學校;Shanxi Public Industrial College;;;
山西公立法政專門學校;山西公立法政專門學校;Shanxi Public School of Law and Politics;;;
山西學兵團;山西學兵團;Shanxi School Corps;;;
山西太原女子師範學校;山西太原女子師範學校;Shanxi Taiyuan Girls' Normal School;;;
山西大學;山西大學;Shanxi University;;;
山西大學教育學院;山西大學;Shanxi University;;;
山西大學文學院;山西大學;Shanxi University;;;
山西大學法學院;山西大學;Shanxi University;;;
山西運城警校;山西運城警校;Shanxi Yuncheng Police Academy;;;
山右大學;山右大學;Shanyou University;;;
上海聖甸翰大學;聖甸翰大學;Shengdianhan University;;;
上海聖約翰大學;聖約翰大學;Shengyuehan University;;;
上海申江商業專門學校;申江商業專門學校;Shenjiang Commercial Vocational School;;;
上海申新公學;申新公學;Shenshin Public School;;;
沈陽醫學院;沈陽醫學院;Shenyang Medical College;;;
神州女學校;神州女學校;Shenzhou Girls' School;;;
上海神州法政專門學校;神州法政專門學校;Shenzhou Law and Politics Vocational School;;;
上海神州大學;神州大學;Shenzhou University;;;
上海時化商專;時化商專;Shihua Commercial School;;;
支那學堂;支那學堂;Shina Academy;;;
